id;Q;P_ERA5L;PET_ERA5L;ET_ERA5L;P_rav;PET_rav;ET_rav
84;2.472224771398721;2.833441350981287;1.3746599726152442;0.5485828388863533;2.379507987220447;0.6473808763121863;0.5613760839799178
85;19.451152779675486;3.7192268097689194;1.1048658416383745;0.674962216624685;3.58412890154419;0.5275782499178622;0.4581612090680101
86;6.667015846985455;4.775315774568112;0.5783271972057018;0.40381572736712923;5.877306806381573;0.41731728499952797;0.38182384593599544
89;4.344697966355585;4.990424657534247;0.6532945205479451;0.2423013698630137;6.422276027397261;0.4374794520547946;0.4215958904109589
90;9.317384055039321;6.087103750342185;6.506939501779359;1.0978510813030387;4.912866411168903;0.5024819326580893;0.8085450314809745
91;1.759969859338284;2.687881278538813;1.0483744292237442;0.6110136986301369;2.608722374429224;0.5830931506849315;0.5439908675799087
92;6.7382411022699955;4.198073896681492;0.8200684228532331;0.49424563804310634;5.481664728019158;0.3682145056448854;0.4618474170372905
93;2.3401772263445957;2.862984257357974;0.5557038558065253;0.369988592288387;2.7342476614191193;0.5901640428929957;0.42388546657540493
95;6.630458029712281;4.680062973441635;2.6526083782057133;0.8181482157524869;4.51207638952268;0.6848216665145569;0.7857588756046363
96;6.130114434261805;3.7609141835518476;0.8370786650774731;0.6118009535160905;3.683670202622169;0.4358449344457688;0.3629606674612634
97;152.02959928043947;7.490086071987481;3.3101291079812207;0.946510172143975;6.33616510172144;0.3817046165884194;0.7569874804381846
98;5.740141368122417;4.525868077162415;1.9480920970752957;0.5851026757934038;4.896620535158681;0.5533751088985687;0.5978693217174859
100;4.2665534946687;4.1256869089099055;0.4653210552513688;0.3149104031856645;4.589191139870583;0.4312205077152812;0.36066202090592336
101;4.406737901769914;3.7156712328767125;0.46258219178082194;0.29665753424657537;4.252304109589041;0.4154938356164383;0.34867808219178087
102;4.08441281730514;4.011174078991039;0.8542681712578825;0.4335396614669765;4.2330291237968805;0.49304853966146694;0.43673747095917687
104;2.6080188342134645;3.0980290587492108;0.4502337334175617;0.29069698883975575;3.4058976626658244;0.46667150979153504;0.34763529164034535
105;4.733956211096768;3.6929143852663016;0.9146814335490295;0.470550024888004;4.789798407167745;0.3197755102040816;0.3840243902439025
106;5.576983286897871;6.031113341850703;2.17905822230334;0.7059226136156233;6.755601022084322;0.37776583318123746;0.575480927176492
890;17.46334099506748;4.972937745506488;2.4615152957981197;0.6768741816450424;4.154664206642066;0.6018464468515652;0.7641304606594453
1010;5.649313803020369;3.78017453798768;0.5709206023271731;0.3617693360711841;4.092441136208077;0.432700205338809;0.3682956878850102
