YYYY;MM;DD;qobs;qc_flag
1962;2;18;;250.0
1962;2;19;;250.0
1962;2;20;;250.0
1962;2;21;;250.0
1962;2;22;;250.0
1962;2;23;;250.0
1962;2;24;;250.0
1962;2;25;;250.0
1962;2;26;;250.0
1962;2;27;;250.0
1962;2;28;;250.0
1962;3;1;;250.0
1962;3;2;;250.0
1962;3;3;;250.0
1962;3;4;;250.0
1962;3;5;;250.0
1962;3;6;;250.0
1962;3;7;;250.0
1962;3;8;;250.0
1962;3;9;;250.0
1962;3;10;;250.0
1962;3;11;;250.0
1962;3;12;;250.0
1962;3;13;;250.0
1962;3;14;;250.0
1962;3;15;;250.0
1962;3;16;;250.0
1962;3;17;;250.0
1962;3;18;;250.0
1962;3;19;;250.0
1962;3;20;;250.0
1962;3;21;;250.0
1962;3;22;;250.0
1962;3;23;;250.0
1962;3;24;;250.0
1962;3;25;;250.0
1962;3;26;;250.0
1962;3;27;;250.0
1962;3;28;;250.0
1962;3;29;;250.0
1962;3;30;;250.0
1962;3;31;;250.0
1962;4;1;;250.0
1962;4;2;;250.0
1962;4;3;;250.0
1962;4;4;;250.0
1962;4;5;;250.0
1962;4;6;;250.0
1962;4;7;;250.0
1962;4;8;;250.0
1962;4;9;;250.0
1962;4;10;;250.0
1962;4;11;;250.0
1962;4;12;;250.0
1962;4;13;;250.0
1962;4;14;;250.0
1962;4;15;277.44;40.0
1962;4;16;326.1;40.0
1962;4;17;322.99;40.0
1962;4;18;287.32;40.0
1962;4;19;271.19;40.0
1962;4;20;252.54;40.0
1962;4;21;289.53;40.0
1962;4;22;261.91;40.0
1962;4;23;304.1;40.0
1962;4;24;376.84;40.0
1962;4;25;350.86;40.0
1962;4;26;293.12;40.0
1962;4;27;248.87;40.0
1962;4;28;266.07;40.0
1962;4;29;296.12;40.0
1962;4;30;306.99;40.0
1962;5;1;311.06;40.0
1962;5;2;293.87;40.0
1962;5;3;272.26;40.0
1962;5;4;227.73;40.0
1962;5;5;193.44;40.0
1962;5;6;188.47;40.0
1962;5;7;182.12;40.0
1962;5;8;208.66;40.0
1962;5;9;236.33;40.0
1962;5;10;212.16;40.0
1962;5;11;209.95;40.0
1962;5;12;208.86;40.0
1962;5;13;224.96;40.0
1962;5;14;228.37;40.0
1962;5;15;194.0;40.0
1962;5;16;170.7;40.0
1962;5;17;159.98;40.0
1962;5;18;152.34;40.0
1962;5;19;145.95;40.0
1962;5;20;;250.0
1962;5;21;;250.0
1962;5;22;;250.0
1962;5;23;;250.0
1962;5;24;;250.0
1962;5;25;;250.0
1962;5;26;;250.0
1962;5;27;;250.0
1962;5;28;;250.0
1962;5;29;;250.0
1962;5;30;;250.0
1962;5;31;;250.0
1962;6;1;;250.0
1962;6;2;;250.0
1962;6;3;;250.0
1962;6;4;;250.0
1962;6;5;;250.0
1962;6;6;;250.0
1962;6;7;;250.0
1962;6;8;;250.0
1962;6;9;;250.0
1962;6;10;;250.0
1962;6;11;;250.0
1962;6;12;;250.0
1962;6;13;;250.0
1962;6;14;;250.0
1962;6;15;;250.0
1962;6;16;;250.0
1962;6;17;;250.0
1962;6;18;;250.0
1962;6;19;;250.0
1962;6;20;;250.0
1962;6;21;;250.0
1962;6;22;;250.0
1962;6;23;;250.0
1962;6;24;;250.0
1962;6;25;;250.0
1962;6;26;;250.0
1962;6;27;;250.0
1962;6;28;;250.0
1962;6;29;;250.0
1962;6;30;;250.0
1962;7;1;;250.0
1962;7;2;;250.0
1962;7;3;;250.0
1962;7;4;;250.0
1962;7;5;;250.0
1962;7;6;;250.0
1962;7;7;;250.0
1962;7;8;;250.0
1962;7;9;;250.0
1962;7;10;;250.0
1962;7;11;;250.0
1962;7;12;;250.0
1962;7;13;;250.0
1962;7;14;;250.0
1962;7;15;;250.0
1962;7;16;;250.0
1962;7;17;;250.0
1962;7;18;;250.0
1962;7;19;;250.0
1962;7;20;;250.0
1962;7;21;;250.0
1962;7;22;;250.0
1962;7;23;;250.0
1962;7;24;;250.0
1962;7;25;;250.0
1962;7;26;;250.0
1962;7;27;;250.0
1962;7;28;;250.0
1962;7;29;;250.0
1962;7;30;;250.0
1962;7;31;;250.0
1962;8;1;;250.0
1962;8;2;;250.0
1962;8;3;;250.0
1962;8;4;;250.0
1962;8;5;;250.0
1962;8;6;;250.0
1962;8;7;;250.0
1962;8;8;;250.0
1962;8;9;;250.0
1962;8;10;;250.0
1962;8;11;;250.0
1962;8;12;;250.0
1962;8;13;;250.0
1962;8;14;;250.0
1962;8;15;;250.0
1962;8;16;;250.0
1962;8;17;;250.0
1962;8;18;;250.0
1962;8;19;;250.0
1962;8;20;;250.0
1962;8;21;;250.0
1962;8;22;;250.0
1962;8;23;;250.0
1962;8;24;;250.0
1962;8;25;;250.0
1962;8;26;;250.0
1962;8;27;;250.0
1962;8;28;;250.0
1962;8;29;;250.0
1962;8;30;;250.0
1962;8;31;;250.0
1962;9;1;;250.0
1962;9;2;;250.0
1962;9;3;;250.0
1962;9;4;;250.0
1962;9;5;;250.0
1962;9;6;;250.0
1962;9;7;;250.0
1962;9;8;;250.0
1962;9;9;;250.0
1962;9;10;;250.0
1962;9;11;;250.0
1962;9;12;;250.0
1962;9;13;;250.0
1962;9;14;;250.0
1962;9;15;;250.0
1962;9;16;;250.0
1962;9;17;;250.0
1962;9;18;;250.0
1962;9;19;;250.0
1962;9;20;;250.0
1962;9;21;;250.0
1962;9;22;;250.0
1962;9;23;;250.0
1962;9;24;;250.0
1962;9;25;;250.0
1962;9;26;;250.0
1962;9;27;;250.0
1962;9;28;;250.0
1962;9;29;;250.0
1962;9;30;;250.0
1962;10;1;;250.0
1962;10;2;;250.0
1962;10;3;;250.0
1962;10;4;;250.0
1962;10;5;;250.0
1962;10;6;;250.0
1962;10;7;;250.0
1962;10;8;;250.0
1962;10;9;143.69;40.0
1962;10;10;133.57;40.0
1962;10;11;128.81;40.0
1962;10;12;126.24;40.0
1962;10;13;124.95;40.0
1962;10;14;127.85;40.0
1962;10;15;136.53;40.0
1962;10;16;147.91;40.0
1962;10;17;165.85;40.0
1962;10;18;153.25;40.0
1962;10;19;142.72;40.0
1962;10;20;156.89;40.0
1962;10;21;220.71;40.0
1962;10;22;210.99;40.0
1962;10;23;159.59;40.0
1962;10;24;126.84;40.0
1962;10;25;80.41;40.0
1962;10;26;92.62;40.0
1962;10;27;103.76;40.0
1962;10;28;102.42;40.0
1962;10;29;97.72;40.0
1962;10;30;83.11;100.0
1962;10;31;75.82;100.0
1962;11;1;75.25;100.0
1962;11;2;76.65;100.0
1962;11;3;75.8;100.0
1962;11;4;79.29;100.0
1962;11;5;91.94;100.0
1962;11;6;111.22;100.0
1962;11;7;145.74;100.0
1962;11;8;175.15;40.0
1962;11;9;169.26;40.0
1962;11;10;157.65;40.0
1962;11;11;165.31;40.0
1962;11;12;151.58;40.0
1962;11;13;130.16;40.0
1962;11;14;105.2;40.0
1962;11;15;;250.0
1962;11;16;;250.0
1962;11;17;;250.0
1962;11;18;;250.0
1962;11;19;;250.0
1962;11;20;;250.0
1962;11;21;;250.0
1962;11;22;;250.0
1962;11;23;;250.0
1962;11;24;;250.0
1962;11;25;;250.0
1962;11;26;91.35;40.0
1962;11;27;79.71;40.0
1962;11;28;87.67;40.0
1962;11;29;110.76;40.0
1962;11;30;126.75;40.0
1962;12;1;116.05;40.0
1962;12;2;129.07;40.0
1962;12;3;214.16;40.0
1962;12;4;250.86;40.0
1962;12;5;234.79;40.0
1962;12;6;177.22;40.0
1962;12;7;194.46;40.0
1962;12;8;208.39;40.0
1962;12;9;181.24;40.0
1962;12;10;154.04;40.0
1962;12;11;120.78;40.0
1962;12;12;;250.0
1962;12;13;;250.0
1962;12;14;;250.0
1962;12;15;;250.0
1962;12;16;;250.0
1962;12;17;;250.0
1962;12;18;;250.0
1962;12;19;;250.0
1962;12;20;;250.0
1962;12;21;;250.0
1962;12;22;;250.0
1962;12;23;;250.0
1962;12;24;;250.0
1962;12;25;;250.0
1962;12;26;;250.0
1962;12;27;;250.0
1962;12;28;;250.0
1962;12;29;;250.0
1962;12;30;;250.0
1962;12;31;;250.0
1963;1;1;;250.0
1963;1;2;;250.0
1963;1;3;;250.0
1963;1;4;;250.0
1963;1;5;;250.0
