YYYY;MM;DD;qobs;qc_flag
1952;11;28;60.92;40.0
1952;11;29;58.91;40.0
1952;11;30;56.92;40.0
1952;12;1;56.92;40.0
1952;12;2;56.27;40.0
1952;12;3;56.27;40.0
1952;12;4;59.58;40.0
1952;12;5;62.97;40.0
1952;12;6;70.71;40.0
1952;12;7;68.56;40.0
1952;12;8;66.44;40.0
1952;12;9;65.04;40.0
1952;12;10;65.04;40.0
1952;12;11;65.04;40.0
1952;12;12;64.34;40.0
1952;12;13;63.65;40.0
1952;12;14;61.6;40.0
1952;12;15;59.58;40.0
1952;12;16;57.58;40.0
1952;12;17;58.24;40.0
1952;12;18;58.91;40.0
1952;12;19;59.58;40.0
1952;12;20;60.92;40.0
1952;12;21;62.97;40.0
1952;12;22;83.46;40.0
1952;12;23;105.59;40.0
1952;12;24;102.17;40.0
1952;12;25;85.02;40.0
1952;12;26;69.28;40.0
1952;12;27;55.62;40.0
1952;12;28;55.62;40.0
1952;12;29;55.62;40.0
1952;12;30;55.62;40.0
1952;12;31;55.62;40.0
1953;1;1;55.62;40.0
1953;1;2;131.87;40.0
1953;1;3;307.11;40.0
1953;1;4;105.59;40.0
1953;1;5;101.32;40.0
1953;1;6;97.13;40.0
1953;1;7;93.83;40.0
1953;1;8;93.83;40.0
1953;1;9;93.83;40.0
1953;1;10;109.94;40.0
1953;1;11;123.44;40.0
1953;1;12;109.06;40.0
1953;1;13;95.47;40.0
1953;1;14;82.68;40.0
1953;1;15;76.6;40.0
1953;1;16;70.71;40.0
1953;1;17;65.04;40.0
1953;1;18;59.58;40.0
1953;1;19;58.24;40.0
1953;1;20;56.92;40.0
1953;1;21;55.62;40.0
1953;1;22;55.62;40.0
1953;1;23;77.35;40.0
1953;1;24;102.17;40.0
1953;1;25;390.67;40.0
1953;1;26;105.59;40.0
1953;1;27;81.14;40.0
1953;1;28;59.58;40.0
1953;1;29;58.24;40.0
1953;1;30;57.58;40.0
1953;1;31;56.92;40.0
1953;2;1;56.27;40.0
1953;2;2;56.27;40.0
1953;2;3;56.27;40.0
1953;2;4;55.62;40.0
1953;2;5;56.27;40.0
1953;2;6;62.97;40.0
1953;2;7;77.35;40.0
1953;2;8;501.67;40.0
1953;2;9;101.32;40.0
1953;2;10;81.14;40.0
1953;2;11;62.97;40.0
1953;2;12;62.97;40.0
1953;2;13;66.44;40.0
1953;2;14;81.14;40.0
1953;2;15;97.13;40.0
1953;2;16;88.98;40.0
1953;2;17;81.14;40.0
1953;2;18;73.63;40.0
1953;2;19;69.99;40.0
1953;2;20;67.85;40.0
1953;2;21;65.04;40.0
1953;2;22;62.97;40.0
1953;2;23;62.97;40.0
1953;2;24;62.97;40.0
1953;2;25;58.24;40.0
